identifier,msa_dim0,msa_dim1,num_templates,num_alignments,chain_lengths,msa_seq_lengths
lgr4_human___573,3235,1025,1,3235,1:951|2:74,1:1008|2:1471
cxcr1_human___3542,2423,392,1,2423,1:350|2:42,1:1946|2:578
lgr6_human___582,2048,974,1,2048,1:967|2:7,1:805|2:1
cxcr1_human___1504,2258,386,1,2258,1:350|2:36,1:1947|2:507
fzd6_human___646,2055,714,1,2055,1:706|2:8,1:1369|2:8
cml1_human___681,2331,410,1,2331,1:373|2:37,1:1814|2:460
ackr2_human___821,3072,461,1,3072,1:384|2:77,1:1969|2:2022
npy1r_human___2089,2056,394,1,2056,1:384|2:10,1:1786|2:9
npy4r_human___771,3072,451,1,3072,1:375|2:76,1:1829|2:2027
fzd2_human___1643,2280,596,1,2280,1:565|2:31,1:1336|2:362
galr3_human___921,2167,406,1,2167,1:368|2:38,1:1768|2:188
ox1r_human___1479,2059,433,1,2059,1:425|2:8,1:1224|2:12
glp2r_human___1152,2413,581,1,2413,1:553|2:28,1:1693|2:513
ackr2_human___921,2168,422,1,2168,1:384|2:38,1:1973|2:188
ccr7_human___1504,2258,414,1,2258,1:378|2:36,1:1915|2:506
c3ar_human___2168,2101,491,1,2101,1:482|2:9,1:1010|2:53
ox1r_human___613,2082,435,1,2082,1:425|2:10,1:1224|2:34
cx3c1_human___2257,2373,382,1,2373,1:355|2:27,1:1974|2:457
fzd1_human___921,2167,685,1,2167,1:647|2:38,1:1336|2:188
ackr3_human___2019,2155,376,1,2155,1:362|2:14,1:1954|2:107
npy4r_human___1514,2251,411,1,2251,1:375|2:36,1:1797|2:489
ccr4_human___3640,3072,437,1,3072,1:360|2:77,1:1982|2:1956
galr3_human___644,2057,377,1,2057,1:368|2:9,1:1760|2:10
crfr2_human___1867,3072,513,1,3072,1:411|2:102,1:1835|2:1254
ccr5_human___5654,2048,365,1,2048,1:352|2:13,1:1928|2:1
fzd6_human___3548,3072,1025,1,3072,1:706|2:319,1:1540|2:1821
cxcr5_human___2257,2377,399,1,2377,1:372|2:27,1:1964|2:457
ccr6_human___817,3692,501,1,3692,1:374|2:127,1:1917|2:1396
ccr10_human___1514,2257,398,1,2257,1:362|2:36,1:1937|2:483
acthr_human___4358,3392,365,1,3392,1:297|2:68,1:1688|2:1589
crfr2_human___1333,2080,422,1,2080,1:411|2:11,1:1689|2:33
glr_human___1272,3072,574,1,3072,1:477|2:97,1:1711|2:2031
cxcr1_human___819,3072,423,1,3072,1:350|2:73,1:1950|2:2036
galr3_human___612,2191,395,1,2191,1:368|2:27,1:1767|2:198
npy2r_human___2270,2394,425,1,2394,1:381|2:44,1:1919|2:765
ccr9_human___810,3072,446,1,3072,1:369|2:77,1:1991|2:2025
lgr4_human___3700,3072,1166,1,3072,1:951|2:215,1:1235|2:1449
pkr1_human___3548,3072,712,1,3072,1:393|2:319,1:1864|2:1867
ccr8_human___861,2048,359,1,2048,1:355|2:4,1:1950|2:1
lgr6_human___1997,2435,994,1,2435,1:967|2:27,1:900|2:575
glr_human___2257,2373,504,1,2373,1:477|2:27,1:1647|2:458
glp1r_human___3542,2411,505,1,2411,1:463|2:42,1:1714|2:588
lgr6_human___2270,2396,1011,1,2396,1:967|2:44,1:1021|2:764
ackr3_human___1579,2083,375,1,2083,1:362|2:13,1:1954|2:36
crfr1_human___1790,2343,451,1,2343,1:415|2:36,1:1688|2:413
glr_human___754,3072,569,1,3072,1:477|2:92,1:1711|2:2016
lgr6_human___3700,3072,1182,1,3072,1:967|2:215,1:1253|2:1442
fpr1_human___2019,2155,364,1,2155,1:350|2:14,1:1767|2:107
pkr2_human___1867,3072,486,1,3072,1:384|2:102,1:1865|2:1255
glr_human___6067,2261,499,1,2261,1:477|2:22,1:1640|2:214
crfr2_human___921,2167,449,1,2167,1:411|2:38,1:1698|2:188
npy5r_human___758,3072,513,1,3072,1:445|2:68,1:985|2:2034
ccr3_human___3542,2422,397,1,2422,1:355|2:42,1:1951|2:578
npy4r_human___1140,2473,408,1,2473,1:375|2:33,1:1799|2:690
ccr9_human___3542,2423,411,1,2423,1:369|2:42,1:1977|2:578
fpr1_human___612,2192,377,1,2192,1:350|2:27,1:1769|2:198
ccr9_human___3548,3072,688,1,3072,1:369|2:319,1:1980|2:1837
c3ar_human___2090,2084,492,1,2084,1:482|2:10,1:1010|2:37
lgr6_human___5654,2048,980,1,2048,1:967|2:13,1:805|2:1
pkr2_human___989,2178,405,1,2178,1:384|2:21,1:1860|2:216
glp1r_human___1157,2108,472,1,2108,1:463|2:9,1:1700|2:60
cxcr6_human___2270,2403,386,1,2403,1:342|2:44,1:1894|2:755
fzd2_human___3548,3072,884,1,3072,1:565|2:319,1:1533|2:1837
ackr1_human___573,3286,410,1,3286,1:336|2:74,1:1598|2:1447
npy2r_human___1157,2108,390,1,2108,1:381|2:9,1:1906|2:60
fpr1_human___771,3072,426,1,3072,1:350|2:76,1:1833|2:2022
glp2r_human___3645,3072,640,1,3072,1:553|2:87,1:1769|2:2022
cml2_human___1157,2108,364,1,2108,1:355|2:9,1:1855|2:60
cxcr5_human___819,3072,445,1,3072,1:372|2:73,1:1968|2:2035
lgr6_human___3548,3072,1286,1,3072,1:967|2:319,1:1206|2:1845
crfr1_human___921,2167,453,1,2167,1:415|2:38,1:1682|2:188
cxcr1_human___3643,2099,377,1,2099,1:350|2:27,1:1946|2:102
ccr5_human___754,3072,444,1,3072,1:352|2:92,1:1962|2:2015
crfr1_human___687,2315,452,1,2315,1:415|2:37,1:1693|2:434
lgr6_human___4057,2132,987,1,2132,1:967|2:20,1:810|2:91
c5ar1_human___921,2167,388,1,2167,1:350|2:38,1:1738|2:188
oprm_human___3700,3072,615,1,3072,1:400|2:215,1:1920|2:1480
crfr2_human___1152,2422,439,1,2422,1:411|2:28,1:1706|2:510
c5ar2_human___2257,2377,364,1,2377,1:337|2:27,1:1740|2:457
gpr75_human___2089,2056,550,1,2056,1:540|2:10,1:1069|2:9
crfr1_human___2174,2112,424,1,2112,1:415|2:9,1:1671|2:64
acthr_human___3542,2420,339,1,2420,1:297|2:42,1:1668|2:579
ccr1_human___861,2048,359,1,2048,1:355|2:4,1:1938|2:1
npy2r_human___1283,2074,391,1,2074,1:381|2:10,1:1906|2:27
ccr4_human___1152,2418,388,1,2418,1:360|2:28,1:1967|2:511
ccr1_human___644,2057,364,1,2057,1:355|2:9,1:1938|2:10
ccr8_human___821,3072,432,1,3072,1:355|2:77,1:1967|2:2021
galr1_human___11417,2078,363,1,2078,1:349|2:14,1:1824|2:31
cml2_human___687,2317,392,1,2317,1:355|2:37,1:1868|2:432
npy1r_human___3700,3072,599,1,3072,1:384|2:215,1:1819|2:1507
acthr_human___1790,2344,333,1,2344,1:297|2:36,1:1657|2:412
cxcr1_human___3645,3072,437,1,3072,1:350|2:87,1:1960|2:2018
oprm_human___1643,2296,431,1,2296,1:400|2:31,1:1898|2:362
glr_human___1140,2480,510,1,2480,1:477|2:33,1:1658|2:695
gpr75_human___3548,3427,859,1,3427,1:540|2:319,1:1319|2:1829
fzd1_human___989,2176,668,1,2176,1:647|2:21,1:1334|2:217
xcr1_human___687,2316,370,1,2316,1:333|2:37,1:1964|2:433
lgr5_human___1157,2108,916,1,2108,1:907|2:9,1:771|2:60
npy1r_human___812,3072,457,1,3072,1:384|2:73,1:1819|2:2037
glp1r_human___2945,3190,597,1,3190,1:463|2:134,1:1739|2:1346
ccr9_human___2257,2377,396,1,2377,1:369|2:27,1:1978|2:456
crfr1_human___3647,3072,508,1,3072,1:415|2:93,1:1808|2:1991
calrl_human___776,3072,532,1,3072,1:461|2:71,1:1610|2:2039
npy5r_human___1681,2070,462,1,2070,1:445|2:17,1:1006|2:23
npy5r_human___1871,2116,465,1,2116,1:445|2:20,1:1006|2:77
galr1_human___1157,2108,358,1,2108,1:349|2:9,1:1824|2:60
galr1_human___1479,2059,357,1,2059,1:349|2:8,1:1824|2:12
ccr10_human___758,3072,430,1,3072,1:362|2:68,1:1956|2:2032
glp1r_human___2257,2373,490,1,2373,1:463|2:27,1:1710|2:458
cml2_human___2945,3214,489,1,3214,1:355|2:134,1:1896|2:1326
cxcr5_human___3645,3072,459,1,3072,1:372|2:87,1:1979|2:2018
ccr6_human___681,2332,411,1,2332,1:374|2:37,1:1917|2:460
ccr1_human___1579,2083,368,1,2083,1:355|2:13,1:1938|2:36
par4_human___687,2317,422,1,2317,1:385|2:37,1:1951|2:432
ackr3_human___810,3072,439,1,3072,1:362|2:77,1:1972|2:2023
cxcr6_human___1152,2418,370,1,2418,1:342|2:28,1:1886|2:511
glr_human___1162,2077,487,1,2077,1:477|2:10,1:1640|2:30
cxcr3_human___758,3072,436,1,3072,1:368|2:68,1:1997|2:2032
cxcr5_human___771,3072,448,1,3072,1:372|2:76,1:1968|2:2021
galr3_human___1623,2048,372,1,2048,1:368|2:4,1:1760|2:1
ccr2_human___3645,3072,461,1,3072,1:374|2:87,1:1976|2:2020
ccr1_human___2089,2056,365,1,2056,1:355|2:10,1:1938|2:9
glp1r_human___3643,2093,490,1,2093,1:463|2:27,1:1703|2:104
ccr8_human___798,3072,424,1,3072,1:355|2:69,1:1967|2:2031
pkr2_human___1152,2419,412,1,2419,1:384|2:28,1:1863|2:510
c5ar1_human___1136,2487,379,1,2487,1:350|2:29,1:1746|2:702
fzd6_human___3646,3485,794,1,3485,1:706|2:88,1:1533|2:1854
cxcr2_human___771,3072,436,1,3072,1:360|2:76,1:1951|2:2021
fzd6_human___644,2057,715,1,2057,1:706|2:9,1:1369|2:10
npy4r_human___1871,2116,395,1,2116,1:375|2:20,1:1782|2:77
fzd2_human___817,3691,692,1,3691,1:565|2:127,1:1395|2:1396
glp1r_human___1272,3072,560,1,3072,1:463|2:97,1:1776|2:2030
lgr5_human___2019,2155,921,1,2155,1:907|2:14,1:771|2:107
ccr2_human___3570,3072,609,1,3072,1:374|2:235,1:1967|2:1929
glp2r_human___1136,2465,582,1,2465,1:553|2:29,1:1696|2:710
fzd1_human___3548,3072,966,1,3072,1:647|2:319,1:1523|2:1831
npy1r_human___644,2057,393,1,2057,1:384|2:9,1:1786|2:10
par4_human___1579,2083,398,1,2083,1:385|2:13,1:1949|2:36
oprm_human___2945,3214,534,1,3214,1:400|2:134,1:1907|2:1327
ox1r_human___3735,2115,443,1,2115,1:425|2:18,1:1224|2:68
cxcr2_human___3645,3072,447,1,3072,1:360|2:87,1:1961|2:2018
ccr7_human___817,3691,505,1,3691,1:378|2:127,1:1920|2:1396
cx3c1_human___644,2057,364,1,2057,1:355|2:9,1:1971|2:10
ccr10_human___855,2138,587,1,2138,1:362|2:225,1:1938|2:272
ackr2_human___2174,2112,393,1,2112,1:384|2:9,1:1973|2:64
glp2r_human___3643,2093,580,1,2093,1:553|2:27,1:1689|2:104
ccr2_human___2168,2101,383,1,2101,1:374|2:9,1:1947|2:53
c3ar_human___758,3072,550,1,3072,1:482|2:68,1:975|2:2032
xcr1_human___646,2055,341,1,2055,1:333|2:8,1:1964|2:8
ackr2_human___681,2332,421,1,2332,1:384|2:37,1:1973|2:460
ackr3_human___4358,3392,430,1,3392,1:362|2:68,1:1959|2:1585
glp1r_human___1140,2480,496,1,2480,1:463|2:33,1:1714|2:695
glr_human___1152,2418,505,1,2418,1:477|2:28,1:1646|2:512
ccr9_human___758,3072,437,1,3072,1:369|2:68,1:1981|2:2033
cxcr5_human___3700,3072,587,1,3072,1:372|2:215,1:1966|2:1516
galr1_human___3548,3072,668,1,3072,1:349|2:319,1:1842|2:1863
cxcr6_human___798,3072,411,1,3072,1:342|2:69,1:1932|2:2032
npy4r_human___2089,2056,385,1,2056,1:375|2:10,1:1781|2:9
ox1r_human___4058,2109,440,1,2109,1:425|2:15,1:1224|2:61
hrh4_human___1272,3072,487,1,3072,1:390|2:97,1:1228|2:2031
ccr8_human___754,3072,447,1,3072,1:355|2:92,1:1966|2:2015
lgr5_human___3700,3072,1122,1,3072,1:907|2:215,1:1211|2:1424
cml1_human___1479,2059,381,1,2059,1:373|2:8,1:1794|2:12
gpr75_human___1152,2437,568,1,2437,1:540|2:28,1:1116|2:514
par4_human___681,2331,422,1,2331,1:385|2:37,1:1949|2:460
galr3_human___1790,2348,404,1,2348,1:368|2:36,1:1774|2:407
npy4r_human___2098,2067,386,1,2067,1:375|2:11,1:1781|2:20
pkr2_human___1871,2116,404,1,2116,1:384|2:20,1:1862|2:77
fzd1_human___2945,3180,781,1,3180,1:647|2:134,1:1449|2:1378
fpr1_human___1152,2423,378,1,2423,1:350|2:28,1:1777|2:510
ackr3_human___1157,2108,371,1,2108,1:362|2:9,1:1954|2:60
ccr4_human___771,3072,436,1,3072,1:360|2:76,1:1978|2:2024
cxcr4_human___1099,2150,380,1,2150,1:352|2:28,1:1938|2:160
ccr8_human___3570,3072,590,1,3072,1:355|2:235,1:1969|2:1930
ackr4_human___855,2138,575,1,2138,1:350|2:225,1:1992|2:272
c5ar1_human___1579,2083,363,1,2083,1:350|2:13,1:1735|2:36
ccr4_human___1579,2083,373,1,2083,1:360|2:13,1:1966|2:36
fzd1_human___681,2331,684,1,2331,1:647|2:37,1:1365|2:461
ccr7_human___2156,2121,386,1,2121,1:378|2:8,1:1907|2:73
fzd6_human___758,3072,774,1,3072,1:706|2:68,1:1604|2:2032
ackr2_human___1157,2108,393,1,2108,1:384|2:9,1:1973|2:60
c3ar_human___5654,2048,495,1,2048,1:482|2:13,1:1010|2:1
ackr4_human___3643,2099,377,1,2099,1:350|2:27,1:1988|2:102
xcr1_human___2270,2403,377,1,2403,1:333|2:44,1:1966|2:755
lgr6_human___4358,3392,1035,1,3392,1:967|2:68,1:944|2:1591
calrl_human___681,2328,498,1,2328,1:461|2:37,1:1543|2:460
pkr2_human___1004,2162,405,1,2162,1:384|2:21,1:1861|2:139
ccr3_human___3700,3072,570,1,3072,1:355|2:215,1:1970|2:1497
ackr1_human___798,3506,405,1,3506,1:336|2:69,1:1634|2:2034
cxcr2_human___921,2168,398,1,2168,1:360|2:38,1:1947|2:188
hrh4_human___758,3072,458,1,3072,1:390|2:68,1:1235|2:2031
ccr6_human___687,2317,411,1,2317,1:374|2:37,1:1918|2:432
c5ar2_human___1162,2077,347,1,2077,1:337|2:10,1:1737|2:30
glr_human___1136,2470,506,1,2470,1:477|2:29,1:1657|2:708
glr_human___3542,2411,519,1,2411,1:477|2:42,1:1657|2:588
cxcr4_human___644,2057,361,1,2057,1:352|2:9,1:1938|2:10
cml1_human___1047,2106,397,1,2106,1:373|2:24,1:1795|2:76
ccr2_human___921,2168,412,1,2168,1:374|2:38,1:1948|2:188
glp2r_human___2019,2155,567,1,2155,1:553|2:14,1:1688|2:107
crfr1_human___1152,2422,443,1,2422,1:415|2:28,1:1691|2:510
fzd6_human___808,3072,776,1,3072,1:706|2:70,1:1655|2:2026
pkr1_human___1157,2108,402,1,2108,1:393|2:9,1:1850|2:60
pkr1_human___1867,3072,495,1,3072,1:393|2:102,1:1857|2:1249
cx3c1_human___798,3072,424,1,3072,1:355|2:69,1:1986|2:2032
lgr5_human___3548,3072,1226,1,3072,1:907|2:319,1:1184|2:1840
ackr2_human___758,3072,452,1,3072,1:384|2:68,1:1965|2:2035
