Model,GPCR,AgonistRank,Class,Model_class,Unseen
AF2 (no templates),mc3r_human,3,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),hrh4_human,11,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),gpr37_human,4,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF2 (no templates),g37l1_human,8,Class A (Rhodopsin),AF2 (no templates) Class A (Rhodopsin),Unseen
AF3,agtr1_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,ur2r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,gasr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ednra_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,glr_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,ednrb_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,agtr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,ntr1_human,3,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,sctr_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,glp1r_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,ghrhr_human,5,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,glp2r_human,2,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,pacr_human,2,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,kissr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,bkrb1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,vipr1_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,vipr2_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Unseen
AF3,mc3r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,mshr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,mtlr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,npy5r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,pth1r_human,4,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,galr1_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,npy4r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ssr5_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,nmbr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cml1_human,4,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,oxyr_human,3,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,fpr2_human,7,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,npy1r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,pth2r_human,2,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,gipr_human,6,Class B1 (Secretin),AF3 Class B1 (Secretin),Unseen
AF3,v1ar_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ccr5_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,npy2r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,bkrb2_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,gnrhr_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ntr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,apj_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,ssr4_human,3,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,npff1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,gpr75_human,6,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,crfr2_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,ackr3_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ackr4_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,fpr1_human,11,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,oprd_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,ccr9_human,4,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cml2_human,7,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ssr1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ssr3_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ccr4_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ccr10_human,4,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ccr6_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,ccr3_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,crfr1_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,mc5r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,v1br_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,c5ar2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cxcr6_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,nk2r_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,c5ar1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,mchr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,calrl_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Seen
AF3,ccr7_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,mrgx2_human,6,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ackr1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,mc4r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,qrfpr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,npsr1_human,6,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cckar_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,nk3r_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ackr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ccr1_human,4,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cxcr1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ccr2_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,calcr_human,1,Class B1 (Secretin),AF3 Class B1 (Secretin),Unseen
AF3,ccr8_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cxcr4_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ssr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cxcr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,nk1r_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,npbw2_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cxcr5_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,galr3_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cxcr3_human,3,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,prlhr_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,oprx_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,galr2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,acthr_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ox2r_human,6,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,ghsr_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,npff2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,ox1r_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,oprm_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,rl3r1_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,mrgx1_human,4,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,npbw1_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,lgr5_human,3,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,mchr1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,oprk_human,8,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,nmur2_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,pkr1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,c3ar_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,nmur1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,cx3c1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,pkr2_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,lgr4_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,xcr1_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,lgr6_human,4,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,grpr_human,2,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,v2r_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Seen
AF3,gpr39_human,7,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,fpr3_human,5,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,hrh4_human,11,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,gpr37_human,7,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,par4_human,9,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,g37l1_human,10,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
AF3,fshr_human,1,Class A (Rhodopsin),AF3 Class A (Rhodopsin),Unseen
Chai-1,ghrhr_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,pacr_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,sctr_human,2,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,glr_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,ackr4_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npy2r_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,glp1r_human,2,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,ccr7_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ccr10_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,vipr1_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,cxcr6_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,gipr_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Unseen
Chai-1,vipr2_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Unseen
Chai-1,ccr6_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,mc4r_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,par4_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,agtr2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,ccr9_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,calrl_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,mtlr_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ur2r_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,agtr1_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,fpr2_human,8,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,ccr5_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,calcr_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Unseen
Chai-1,npy1r_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ackr1_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ccr4_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npy5r_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,cxcr3_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,glp2r_human,2,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,ntr2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,cxcr5_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,cxcr1_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,cxcr2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,ccr3_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,qrfpr_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,gpr39_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,pth2r_human,6,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,cx3c1_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,oprx_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ntr1_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,bkrb2_human,4,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ccr1_human,10,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mchr2_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,cxcr4_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npbw2_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,pth1r_human,4,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,cml1_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,pkr1_human,9,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ccr2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,nmbr_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mrgx1_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,lgr5_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ccr8_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,fpr1_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,oxyr_human,8,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,galr2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ackr2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,nmur1_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,pkr2_human,8,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,trfr_human,7,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ssr2_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,lgr4_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,fpr3_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,galr1_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ssr5_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,lgr6_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ssr1_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,apj_human,4,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,grpr_human,4,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,nk1r_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ackr3_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ssr4_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,v1br_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npff1_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,prlhr_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,oprd_human,4,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,v2r_human,9,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,nmur2_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,gnrhr_human,10,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,gpr75_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,rl3r1_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,bkrb1_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,nk2r_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ox1r_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,c5ar1_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,cml2_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npy4r_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,kissr_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mrgx2_human,8,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,fshr_human,7,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,v1ar_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ox2r_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,ssr3_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npbw1_human,4,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mc5r_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,crfr2_human,1,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,nk3r_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,c5ar2_human,8,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ghsr_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,oprm_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npsr1_human,9,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mchr1_human,7,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,ednrb_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,ednra_human,4,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,oprk_human,8,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,npff2_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,c3ar_human,2,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,cckar_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,gasr_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,galr3_human,11,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,xcr1_human,5,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mshr_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Seen
Chai-1,acthr_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,mc3r_human,1,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,g37l1_human,10,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,hrh4_human,6,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
Chai-1,crfr1_human,4,Class B1 (Secretin),Chai-1 Class B1 (Secretin),Seen
Chai-1,gpr37_human,3,Class A (Rhodopsin),Chai-1 Class A (Rhodopsin),Unseen
AF3 LIS,agtr1_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ur2r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,glr_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,gasr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,agtr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ednra_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ednrb_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,ssr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ssr5_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,glp1r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,bkrb1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ntr1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,galr1_human,2,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,sctr_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,glp2r_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,fpr2_human,7,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,mtlr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,mshr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,vipr1_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,ssr3_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,vipr2_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Unseen
AF3 LIS,npbw2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npy2r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,pacr_human,2,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,mc3r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npy5r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npy4r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ghrhr_human,3,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,v1ar_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,gipr_human,4,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Unseen
AF3 LIS,ntr2_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npff1_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,npy1r_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,kissr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,fpr1_human,11,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,calcr_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Unseen
AF3 LIS,oxyr_human,3,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr5_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Seen
AF3 LIS,cml1_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,cml2_human,5,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,nmbr_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,crfr2_human,1,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,cxcr6_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,crfr1_human,2,Class B1 (Secretin),AF3 LIS Class B1 (Secretin),Seen
AF3 LIS,ackr4_human,3,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
AF3 LIS,ccr4_human,1,Class A (Rhodopsin),AF3 LIS Class A (Rhodopsin),Unseen
